Datetime, Aggregationtime, Station, Lat, Lon, Alt, Qualityflag, Ta_200, P_container_NRT, SD
"1911-10","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",7.4,71.0,"NaN"
"1911-11","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",3.5,50.0,"NaN"
"1911-12","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",1.8,70.0,"NaN"
"1912-01","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-1.0,60.0,"NaN"
"1912-02","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",2.1,55.0,"NaN"
"1912-03","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",5.1,64.0,"NaN"
"1912-04","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",5.4,34.0,"NaN"
"1912-05","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",12.0,78.0,"NaN"
"1912-06","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",14.3,108.0,"NaN"
"1912-07","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",15.3,144.0,"NaN"
"1912-08","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",12.5,150.0,"NaN"
"1912-09","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",6.8,96.0,"NaN"
"1912-10","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",5.2,57.0,"NaN"
"1912-11","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-0.2,51.0,"NaN"
"1912-12","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-0.5,46.0,"NaN"
"1913-01","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-1.4,53.0,"NaN"
"1913-02","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-1.2,30.0,"NaN"
"1913-03","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",4.6,61.0,"NaN"
"1913-04","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",5.4,76.0,"NaN"
"1913-05","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",10.4,74.0,"NaN"
"1913-06","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",13.1,126.0,"NaN"
"1913-07","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",12.5,114.0,"NaN"
"1913-08","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",13.5,51.0,"NaN"
"1913-09","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",10.6,84.0,"NaN"
"1913-10","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",8.5,48.0,"NaN"
"1913-11","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",5.6,128.0,"NaN"
"1913-12","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-1.0,58.0,"NaN"
"1914-01","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-6.4,76.0,"NaN"
"1914-02","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",0.2,14.0,"NaN"
"1914-03","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",3.2,112.0,"NaN"
"1914-04","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",8.5,42.0,"NaN"
"1914-05","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",9.2,182.0,"NaN"
"1914-06","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",12.4,122.0,"NaN"
"1914-07","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",15.2,174.0,"NaN"
"1914-08","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",15.5,76.0,"NaN"
"1914-09","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",10.8,99.0,"NaN"
"1914-10","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",6.5,52.0,"NaN"
