Datetime, Aggregationtime, Station, lat, lon, alt, Qualityflag, Ta_200, P_RT_NRT, SD
1909-03,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,2.4,27.5,NaN
1909-04,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,8.2,58.7,NaN
1909-05,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,11.4,25.2,NaN
1909-06,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,14.3,49.7,NaN
1909-07,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,15.3,77.3,NaN
1909-08,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,16.2,43.9,NaN
1909-09,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,12.8,107.4,NaN
1909-10,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,10.8,44.4,NaN
1909-11,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,2.7,76.7,NaN
1909-12,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,2.8,58.4,NaN
1910-01,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,2.7,43.1,NaN
1910-02,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,4.0,31.3,NaN
1910-03,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,4.0,17.8,NaN
1910-04,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,7.5,38.6,NaN
1910-05,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,13.2,50.0,NaN
1910-06,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,16.6,99.1,NaN
1910-07,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,15.6,97.2,NaN
1910-08,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,15.8,96.8,NaN
1910-09,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,12.1,65.6,NaN
1910-10,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,9.8,4.1,NaN
1910-11,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,2.8,42.6,NaN
1910-12,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,3.3,43.9,NaN
1911-01,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,0.0,11.9,NaN
1911-02,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,2.6,46.8,NaN
1911-03,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,4.8,28.0,NaN
1911-04,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,8.2,18.3,NaN
1911-05,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,14.0,28.7,NaN
1911-06,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,15.6,40.4,NaN
1911-07,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,19.8,19.1,NaN
1911-08,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,19.7,22.7,NaN
1911-09,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,13.7,20.6,NaN
1911-10,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,8.9,41.2,NaN
1911-11,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,5.4,34.4,NaN
1911-12,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,4.1,58.0,NaN
1912-01,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,-0.6,48.8,NaN
1912-02,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,3.1,39.9,NaN
1912-03,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,7.0,50.2,NaN
1912-04,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,7.6,19.5,NaN
1912-05,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,12.1,73.7,NaN
1912-06,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,16.0,99.0,NaN
